Unnamed: 0,avg_lasso_cn,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
cn_A1BG,avg_lasso_cn,0.062084,0.003884,0.933261,1.30E-95,0.876448,5.82E-58,0.864475
cn_POU5F1P5,avg_lasso_cn,0.048929,0.002399,0.947622,2.17E-112,0.901908,1.62E-70,0.893455
cn_ZBTB11-AS1,avg_lasso_cn,0.053519,0.002873,0.924187,5.65E-94,0.871059,2.19E-64,0.843838
cn_MED6,avg_lasso_cn,0.05873,0.00346,0.943041,8.16E-106,0.906167,1.88E-70,0.887661
cn_NR2E3,avg_lasso_cn,0.0647,0.004283,0.878907,3.15E-63,0.850559,2.38E-46,0.764878
cn_NAALAD2,avg_lasso_cn,0.08362,0.007077,0.898033,1.77E-73,0.83643,3.80E-48,0.805615
cn_DUXB,avg_lasso_cn,0.049721,0.002513,0.954399,3.41E-117,0.919234,1.95E-76,0.906253
cn_SNORD116-1,avg_lasso_cn,0.067173,0.004644,0.88923,4.97E-71,0.843902,5.38E-54,0.783755
cn_SNORD116-2,avg_lasso_cn,0.067173,0.004644,0.88923,4.97E-71,0.843902,5.38E-54,0.783755
cn_SNORD116-3,avg_lasso_cn,0.067173,0.004644,0.88923,4.97E-71,0.843902,5.38E-54,0.783755
cn_SNORD116-4,avg_lasso_cn,0.067173,0.004644,0.88923,4.97E-71,0.843902,5.38E-54,0.783755
cn_NAT2,avg_lasso_cn,0.066348,0.004415,0.948857,1.27E-114,0.92877,3.65E-81,0.898316
cn_ADA,avg_lasso_cn,0.066034,0.00438,0.947548,7.30E-114,0.932979,1.01E-92,0.895615
cn_CDH2,avg_lasso_cn,0.090767,0.008291,0.896867,1.58E-79,0.851639,4.79E-57,0.800935
cn_AKT3,avg_lasso_cn,0.097328,0.01118,0.889265,1.77E-65,0.869623,1.03E-65,0.773107
cn_GAGE12F,avg_lasso_cn,0.13557,0.018452,0.844351,2.12E-64,0.850041,8.67E-65,0.710923
cn_RNA5-8SN5,avg_lasso_cn,0.157044,0.02469,0.805676,1.80E-48,0.712487,1.70E-29,0.628826
cn_RNA18SN5,avg_lasso_cn,0.157044,0.02469,0.805676,1.80E-48,0.712487,1.70E-29,0.628826
cn_RNA28SN5,avg_lasso_cn,0.157044,0.02469,0.805676,1.80E-48,0.712487,1.70E-29,0.628826
cn_LINC02584,avg_lasso_cn,0.115317,0.013553,0.9507,5.81E-102,0.767519,2.89E-42,0.899338