Unnamed: 0,avg_rf_sensi,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
sensitivity_BRD-A49035384-003-28-9::2.39::HTS,avg_rf_sensi,0.568382,0.324276,0.387747,5.84E-04,0.37177,1.64E-03,0.106608
sensitivity_BRD-K82731415-001-07-0::2.5::HTS,avg_rf_sensi,0.356565,0.127567,0.283332,7.00E-02,0.291438,7.32E-02,0.055849
sensitivity_BRD-K72420232-001-12-3::2.5::HTS,avg_rf_sensi,0.495024,0.245851,0.382069,4.26E-05,0.397508,2.60E-05,0.109923
sensitivity_BRD-A29734509-011-13-6::2.5::HTS,avg_rf_sensi,0.414935,0.172314,0.275723,1.03E-02,0.267833,1.39E-02,0.049608
sensitivity_BRD-K20285085-001-07-1::2.5::HTS,avg_rf_sensi,0.633487,0.406336,0.384599,5.72E-03,0.363968,3.81E-02,0.128496
sensitivity_BRD-K28907958-001-04-3::2.5::HTS,avg_rf_sensi,1.40286,1.969495,0.365991,1.37E-03,0.350044,5.41E-03,0.101707
sensitivity_BRD-A40084411-003-07-7::2.5::HTS,avg_rf_sensi,0.338504,0.116247,0.296037,2.64E-03,0.31227,3.15E-03,0.055217
sensitivity_BRD-K69470111-236-08-9::2.5::HTS,avg_rf_sensi,0.3601,0.13089,0.278485,7.56E-03,0.295943,5.98E-03,0.053062
sensitivity_BRD-A42553870-001-14-3::2.5::HTS,avg_rf_sensi,0.378424,0.145157,0.273765,1.06E-01,0.256016,6.84E-02,0.060596
sensitivity_BRD-K57853941-304-02-5::2.5::HTS,avg_rf_sensi,0.41369,0.172129,0.306228,1.04E-02,0.311635,1.17E-02,0.07494
sensitivity_BRD-A74391928-051-01-3::2.5::HTS,avg_rf_sensi,0.439299,0.195723,0.276836,2.18E-02,0.279387,3.06E-02,0.06142
sensitivity_BRD-A28329383-001-02-1::2.5::HTS,avg_rf_sensi,0.375877,0.142352,0.245789,4.60E-02,0.260236,2.33E-02,0.034801
sensitivity_BRD-K20482099-001-09-4::2.5::HTS,avg_rf_sensi,0.526207,0.27781,0.355602,4.00E-03,0.325473,7.51E-03,0.082677
sensitivity_BRD-K17378184-300-05-9::2.5::HTS,avg_rf_sensi,0.404546,0.165711,0.247648,6.29E-02,0.261555,3.19E-02,0.04753
sensitivity_BRD-K94176593-001-09-4::2.5::HTS,avg_rf_sensi,0.62996,0.398499,0.313758,1.89E-03,0.298752,2.30E-03,0.085788
sensitivity_BRD-K31843556-001-04-1::2.5::HTS,avg_rf_sensi,0.414864,0.173236,0.263805,2.09E-02,0.298373,3.09E-03,0.050267
sensitivity_BRD-K51956333-001-03-8::2.52122192::MTS004,avg_rf_sensi,0.291431,0.085774,0.287249,6.47E-03,0.313826,5.21E-03,0.061597
sensitivity_BRD-A09554849-236-07-6::2.5::HTS,avg_rf_sensi,0.338852,0.115788,0.298737,3.40E-02,0.337329,2.61E-02,0.063167
sensitivity_BRD-A72988804-001-11-1::2.5::MTS004,avg_rf_sensi,0.287477,0.082855,0.16778,8.71E-02,0.205321,6.26E-02,0.024267
sensitivity_BRD-K62196610-001-01-6::2.5::HTS,avg_rf_sensi,0.96432,0.935285,0.420624,5.53E-05,0.421998,8.75E-05,0.143584