Unnamed: 0,avg_lasso_meta,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
metabolite_cotinine,avg_lasso_meta,0.364042,0.132818,0.431829,6.35E-09,0.391728,1.76E-06,0.176291
metabolite_C46:2 TAG,avg_lasso_meta,0.293468,0.086704,0.581001,1.27E-14,0.569245,1.18E-14,0.327028
metabolite_fumarate/maleate/alpha-ketoisovalerate,avg_lasso_meta,0.207344,0.043035,0.273222,2.07E-03,0.273889,1.61E-03,0.074467
metabolite_threonine,avg_lasso_meta,0.336539,0.113578,0.435609,3.36E-07,0.439116,3.97E-07,0.185624
metabolite_proline,avg_lasso_meta,0.240704,0.058056,0.374003,3.65E-06,0.375822,1.45E-06,0.126524
metabolite_uracil,avg_lasso_meta,0.288606,0.083502,0.592221,1.40E-14,0.55499,1.35E-11,0.342793
metabolite_C18:0 LPE,avg_lasso_meta,0.298213,0.089172,0.383275,4.22E-06,0.371678,7.16E-06,0.134209
metabolite_trimethylamine-N-oxide,avg_lasso_meta,0.238898,0.057222,0.497381,2.54E-07,0.486897,4.53E-07,0.240711
metabolite_putrescine,avg_lasso_meta,0.312407,0.098264,0.476994,9.90E-08,0.452836,4.43E-08,0.205523
metabolite_phenylalanine,avg_lasso_meta,0.334426,0.112171,0.613249,3.63E-13,0.599184,1.07E-11,0.375073
metabolite_thyroxine,avg_lasso_meta,0.218678,0.047896,0.490853,5.07E-11,0.453491,6.80E-09,0.236468
metabolite_5-adenosylhomocysteine,avg_lasso_meta,0.343181,0.117955,0.46221,7.32E-10,0.425079,1.72E-08,0.210904
metabolite_C58:6 TAG,avg_lasso_meta,0.393372,0.154939,0.645923,9.43E-21,0.617764,7.23E-17,0.415097
metabolite_ornithine,avg_lasso_meta,0.357806,0.128316,0.318525,5.23E-04,0.274402,1.31E-03,0.091169
metabolite_guanosine,avg_lasso_meta,0.341402,0.116602,0.508494,6.04E-11,0.499858,2.89E-10,0.249856
metabolite_glutathione reduced,avg_lasso_meta,0.28464,0.081586,0.531479,2.53E-10,0.516413,2.62E-08,0.251384
metabolite_lactose,avg_lasso_meta,0.427066,0.182959,0.563667,2.28E-13,0.560579,6.73E-11,0.311433
metabolite_adipate,avg_lasso_meta,0.1874,0.035128,0.293363,7.49E-04,0.237062,8.91E-03,0.080594
metabolite_C50:1 TAG,avg_lasso_meta,0.34735,0.120886,0.572737,5.55E-15,0.542919,4.82E-14,0.32173
metabolite_valine,avg_lasso_meta,0.324488,0.10538,0.528626,6.39E-12,0.534026,4.43E-13,0.277982