Unnamed: 0,avg_rf_meta,RMSE_avg,MSE_avg,Pearsonr_avg,Pearsonr_pvalue_avg,Spearmanr_avg,Spearmanr_pvalue_avg,R_square_avg
metabolite_cotinine,avg_rf_meta,0.363218,0.132193,0.434093,1.04E-07,0.417072,4.24E-08,0.178882
metabolite_C46:2 TAG,avg_rf_meta,0.296064,0.08819,0.579737,3.07E-13,0.577489,2.67E-13,0.315593
metabolite_fumarate/maleate/alpha-ketoisovalerate,avg_rf_meta,0.202957,0.041243,0.352339,2.65E-05,0.349968,2.87E-05,0.113397
metabolite_threonine,avg_rf_meta,0.341495,0.116872,0.423318,3.34E-07,0.450634,3.58E-08,0.163563
metabolite_proline,avg_rf_meta,0.237571,0.056529,0.431936,1.17E-07,0.452983,9.29E-10,0.148982
metabolite_uracil,avg_rf_meta,0.287187,0.082721,0.606678,2.10E-15,0.569825,4.75E-13,0.351629
metabolite_C18:0 LPE,avg_rf_meta,0.29997,0.09036,0.378516,9.19E-05,0.367035,2.93E-05,0.125677
metabolite_trimethylamine-N-oxide,avg_rf_meta,0.238116,0.056761,0.509083,3.19E-09,0.504107,1.14E-11,0.247014
metabolite_putrescine,avg_rf_meta,0.315667,0.100144,0.478539,6.05E-09,0.473551,4.43E-11,0.189153
metabolite_phenylalanine,avg_rf_meta,0.345021,0.119384,0.581689,3.33E-12,0.577534,1.76E-10,0.33646
metabolite_thyroxine,avg_rf_meta,0.211451,0.044765,0.542505,1.33E-11,0.501152,4.01E-10,0.285165
metabolite_5-adenosylhomocysteine,avg_rf_meta,0.346727,0.120366,0.448766,1.78E-09,0.428288,3.68E-09,0.194416
metabolite_C58:6 TAG,avg_rf_meta,0.414496,0.172223,0.598839,3.02E-16,0.580063,1.38E-14,0.350489
metabolite_ornithine,avg_rf_meta,0.355149,0.126513,0.368078,9.26E-07,0.335886,7.50E-06,0.105732
metabolite_guanosine,avg_rf_meta,0.341701,0.116851,0.517734,4.48E-11,0.510873,1.37E-10,0.249547
metabolite_glutathione reduced,avg_rf_meta,0.290355,0.085197,0.508017,6.37E-10,0.520623,2.01E-09,0.228567
metabolite_lactose,avg_rf_meta,0.44471,0.19819,0.511984,2.26E-11,0.533451,1.64E-10,0.253494
metabolite_adipate,avg_rf_meta,0.182713,0.033413,0.366208,1.61E-05,0.355866,3.25E-05,0.126432
metabolite_C50:1 TAG,avg_rf_meta,0.37114,0.137981,0.492031,1.53E-11,0.489233,9.73E-11,0.226393
metabolite_valine,avg_rf_meta,0.329941,0.108961,0.509893,1.18E-09,0.521785,1.19E-09,0.253113